Name, State, District, allAverage, partisanAverage, billAverage,procedureAverage,resolutionAverage
BROWN; George Edward; Jr., CA, 42, 1.0, 1.0, 1.0, 1.0, 1.0
STARK; Fortney Hillman (Pete); Jr., CA, 13, 0.9528795811518325, 0.9770833333333333, 0.9782608695652174, 0.9307692307692308, 0.9804878048780488
MILLER; George, CA, 7, 0.9545004945598418, 0.9654510556621881, 0.975, 0.9339285714285714, 0.985781990521327
WAXMAN; Henry Arnold, CA, 29, 0.9698736637512148, 0.984251968503937, 0.9874476987447699, 0.9555555555555556, 0.9902439024390244
DIXON; Julian Carey, CA, 32, 0.976063829787234, 0.9690522243713733, 0.9858657243816255, 0.9675850891410048, 0.9868421052631579
LEWIS; Charles Jeremy (Jerry), CA, 40, 0.9816176470588235, 0.9742489270386266, 0.9929328621908127, 0.9703832752613241, 0.9956709956709957
MATSUI; Robert T., CA, 5, 0.9775086505190311, 0.9771428571428571, 0.9860627177700348, 0.9746434231378764, 0.9747899159663865
THOMAS; William Marshall, CA, 21, 0.9734432234432234, 0.9710743801652892, 0.9964664310954063, 0.9516407599309153, 1.0
DREIER; David Timothy, CA, 28, 0.9768439108061749, 0.9844660194174757, 1.0, 0.9603174603174603, 0.9918367346938776
HUNTER; Duncan Lee, CA, 52, 0.9596050269299821, 0.9725490196078431, 0.9708029197080292, 0.9455445544554455, 0.9829059829059829
LANTOS; Thomas Peter, CA, 12, 0.9831144465290806, 0.9819639278557114, 0.9766536964980544, 0.9830795262267343, 0.9908256880733946
MART�NEZ; Matthew G., CA, 31, 0.8633540372670807, 0.7533512064343163, 0.8789473684210526, 0.8835616438356164, 0.7966101694915254
BERMAN; Howard Lawrence, CA, 26, 0.9773584905660377, 0.9737903225806451, 0.9924242424242424, 0.9708904109589042, 0.9764150943396226
PACKARD; Ronald C., CA, 48, 0.9902912621359223, 0.9980353634577603, 0.9929577464788732, 0.9852941176470589, 1.0
GALLEGLY; Elton W., CA, 23, 0.9725906277630415, 0.9468302658486708, 0.9827586206896551, 0.9568106312292359, 1.0
HERGER; Walter William (Wally), CA, 2, 0.9617437722419929, 0.9942307692307693, 1.0, 0.9319286871961102, 0.9957081545064378
PELOSI; Nancy, CA, 8, 0.9644484958979034, 0.9733333333333334, 0.9772727272727273, 0.9538714991762768, 0.9778761061946902
CAMPBELL; Thomas J., CA, 15, 0.8930899608865711, 0.8413173652694611, 0.9881656804733728, 0.8072289156626506, 1.0
COX; Charles Christopher, CA, 47, 0.9532442748091603, 0.9795501022494888, 0.980544747081712, 0.9237588652482269, 0.9955947136563876
ROHRABACHER; Dana, CA, 45, 0.9397163120567376, 0.9753787878787878, 0.9814126394052045, 0.899513776337115, 0.9958677685950413
CONDIT; Gary Adrian, CA, 18, 0.8894009216589862, 0.7777777777777778, 0.8625429553264605, 0.8906810035842294, 0.9194915254237288
DOOLITTLE; John Taylor, CA, 4, 0.9702434625788999, 0.9961315280464217, 0.9849056603773585, 0.9526916802610114, 1.0
DOOLEY; Calvin M., CA, 20, 0.9316712834718375, 0.8814968814968815, 0.8974358974358975, 0.9448275862068966, 0.9391304347826087
WATERS; Maxine, CA, 35, 0.9728370221327968, 0.9845261121856866, 0.9791666666666666, 0.9646840148698885, 0.9861111111111112
CUNNINGHAM; Randall (Duke), CA, 51, 0.977332170880558, 0.9903288201160542, 0.9964788732394366, 0.9616, 0.9957983193277311
WOOLSEY; Lynn C., CA, 6, 0.9725177304964538, 0.9813780260707635, 0.9889705882352942, 0.9603174603174603, 0.9867256637168141
POMBO; Richard William, CA, 11, 0.966726618705036, 0.9902912621359223, 0.9779411764705882, 0.9503311258278145, 0.9957627118644068
ESHOO; Anna Georges, CA, 14, 0.9446962828649139, 0.9247104247104247, 0.9770114942528736, 0.9377049180327869, 0.9267241379310345
FARR; Sam, CA, 17, 0.9737072743207712, 0.9715370018975332, 0.9893238434163701, 0.9664536741214057, 0.9743589743589743
McKEON; Howard P. (Buck), CA, 25, 0.9842931937172775, 0.994140625, 0.9965156794425087, 0.9741100323624595, 0.995850622406639
BECERRA; Xavier, CA, 30, 0.9731800766283525, 0.971830985915493, 0.9922779922779923, 0.9653979238754326, 0.9710144927536232
ROYBAL-ALLARD; Lucille, CA, 33, 0.9831261101243339, 0.9884615384615385, 0.9925925925925926, 0.975767366720517, 0.9915611814345991
HORN; John Stephen (Steve), CA, 38, 0.9080145719489982, 0.8223684210526315, 0.9752650176678446, 0.8382608695652174, 0.9958333333333333
