State,District,Party,Margin,Lean,Avg_Def,Minority,Nat_Margin,Year,Fresh,Calculated_C6
VA,9,0,30.40732043,36.71,9.0143218,0,-8.6,2018,0,-0.097302114
VA,10,0,-12.37510026,-1.01,5.6487202,0,-8.6,2018,0,-2.972633918
WA,3,0,5.341995795,7.11,8.8851635,0,-8.6,2018,0,-0.546794351
WA,4,0,25.63549544,25.54,5.1101322,0,-8.6,2018,0,0.451544764
WA,5,0,9.519989262,14.13,3.7375415,0,-8.6,2018,0,-1.519905461
WI,1,0,12.29078099,9.53,3.7037037,0,-8.6,2018,0,0.098998738
WI,5,0,23.94643798,23.87,8.0168776,0,-8.6,2018,0,0.225516351
WI,6,0,11.00549121,14.28,7.6660988,0,-8.6,2018,0,-0.561178887
WI,7,0,21.60636848,13.21,6.4267352,0,-8.6,2018,0,1.098689344
WI,8,0,27.41853066,11.83,8.5498743,0,-8.6,2018,1,2.212654947
WV,1,0,29.15031229,35.51,9.8919368,0,-8.6,2018,0,-0.129333692
WV,2,0,10.98333919,30.62,7.7310924,0,-8.6,2018,0,-2.064803521
WY,0,0,33.81947378,46.32,5.1126516,0,-8.6,2018,1,0.147015254
AZ,7,1,50.48705694,40.62,11.4854518,1,-1.1,2016,1,1.003010691
AZ,9,1,21.87512387,6.62,30.9318716,1,-1.1,2016,0,0.066743387
CA,2,1,53.70019893,40.99,12.7610209,1,-1.1,2016,0,0.737231136
