congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,Average,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
113,House,20749,21,11,IL,100,0.808724832,1,"FOSTER, Bill",F000454,1955,,-0.228,-0.227,-213.862,0.80951,1012,98,,-0.233,-0.118
113,House,20914,21,18,IL,200,0.933508311,1,"SCHOCK, Aaron",S001179,1981,,0.311,0.185,-120.10981,0.885,979,53,,0.297,0.264
113,House,20954,21,5,IL,100,0.858603066,1,"QUIGLEY, Mike",Q000023,1958,,-0.321,-0.282,-112.72909,0.89309,997,35,,-0.342,-0.277
113,House,21128,21,16,IL,200,0.916107383,1,"KINZINGER, Adam",K000378,1978,,0.274,0.307,-143.73651,0.86772,1013,70,,0.282,0.465
113,House,21129,21,14,IL,200,0.939342881,1,"HULTGREN, Randy",H001059,1966,,0.49,-0.034,-116.15599,0.89177,1014,44,,0.549,-0.068
113,House,21325,21,8,IL,100,0.790925267,1,"DUCKWORTH, Tammy",D000622,1968,,-0.331,0.107,-224.79373,0.7922,965,91,,-0.274,0.006
113,House,21326,21,10,IL,100,0.799830365,1,"SCHNEIDER, Brad",S001190,1961,,-0.173,-0.202,-181.33067,0.83401,999,60,,-0.188,-0.21
113,House,21327,21,12,IL,100,0.785470085,1,"ENYART, Bill",E000292,1949,,-0.251,0.159,-242.42401,0.784,997,93,,-0.244,0.13
113,House,21328,21,13,IL,200,0.89428815,1,"DAVIS, Rodney",D000619,1970,,0.28,0.169,-209.04797,0.81119,999,103,,0.33,0.008
113,House,21329,21,17,IL,100,0.777683855,1,"BUSTOS, Cheri",B001286,1961,,-0.238,0.035,-210.6274,0.81008,1000,95,,-0.211,0.035
113,House,21371,21,2,IL,100,0.858058608,2,"KELLY, Robin L.",K000385,1956,,-0.459,-0.002,-98.60178,0.89961,932,43,,-0.45,0.005
113,House,29346,21,1,IL,100,0.849802372,1,"RUSH, Bobby L.",R000515,1946,,-0.478,-0.203,-107.22901,0.84211,624,52,,-0.444,-0.133
113,House,29348,21,4,IL,100,0.851669941,1,"GUTIÉRREZ, Luis V.",G000535,1953,,-0.487,-0.26,-111.62539,0.88061,878,45,,-0.453,-0.235
113,House,29717,21,7,IL,100,0.853333333,1,"DAVIS, Danny K.",D000096,1941,,-0.486,-0.264,-121.55471,0.88118,961,38,,-0.445,-0.176
113,House,29718,21,15,IL,200,0.938217123,1,"SHIMKUS, John M.",S000364,1958,,0.374,0.153,-143.60106,0.86187,966,51,,0.277,0.263
113,House,29911,21,9,IL,100,0.837405223,1,"SCHAKOWSKY, Janice D.",S001145,1944,,-0.606,-0.269,-90.4187,0.91396,1005,52,,-0.731,-0.097
113,House,15124,22,1,IN,100,0.826123834,1,"VISCLOSKY, Peter",V000108,1949,,-0.402,0.243,-197.22201,0.81987,993,96,,-0.401,0.217
113,House,20757,22,7,IN,100,0.842060811,1,"CARSON, André",C001072,1974,,-0.431,0.06,-178.78901,0.83732,1007,71,,-0.409,0.049
113,House,21100,22,3,IN,200,0.915239726,1,"STUTZMAN, Marlin",S001188,1976,,0.742,-0.119,-126.05499,0.881,996,49,,0.736,-0.11
113,House,21131,22,4,IN,200,0.941789748,1,"ROKITA, Todd",R000592,1970,,0.602,-0.16,-98.61102,0.90371,974,32,,0.596,-0.145
113,House,21132,22,8,IN,200,0.940134907,1,"BUCSHON, Larry",B001275,1962,,0.403,0.254,-108.96703,0.89801,1013,54,,0.443,0.153
113,House,21133,22,9,IN,200,0.954583684,1,"YOUNG, Todd",Y000064,1972,,0.474,-0.033,-118.74317,0.88929,1012,52,,0.448,0.133
113,House,21330,22,2,IN,200,0.946308725,1,"WALORSKI, Jackie",W000813,1963,,0.429,0.316,-111.14548,0.89657,1018,49,,0.405,0.361
113,House,21331,22,5,IN,200,0.954013378,1,"BROOKS, Susan",B001284,1960,,0.357,0.215,-99.18311,0.90699,1016,46,,0.403,0.355
113,House,21332,22,6,IN,200,0.945054945,1,"MESSER, Luke",M001189,1969,,0.563,-0.086,-105.21165,0.9007,1006,35,,0.561,0.026
